dependent_variable,specification,effect_type,beta,p_value,AIC,BIC
oldage_c,netmigpct + gdp_oecd +,Stock,0.006239570591861375,1.1515919029450442e-05,123752.67979088923,123972.68591768158
housing_c,,Stock,0.002942807937910595,0.07739904556899836,153502.43523487053,153703.38334293637
housing_c,wdi_unempilo +,Stock,0.002457839986270516,0.14104779747788526,153485.2779035834,153695.36001656135
housing_c,socx_oecd +,Stock,-0.002074450843933452,0.2616182826476647,139074.18356623413,139273.02977234081
housing_c,gdp_oecd +,Stock,-0.00661764822060681,0.000289162363923979,153342.05828840984,153552.14040138776
housing_c,netmigpct +,Stock,0.004045087949065507,0.020089345457518074,153499.5946248095,153709.67673778743
housing_c,wdi_unempilo + socx_oecd +,Stock,-0.002433289509921361,0.18839458981149823,139060.3741914364,139268.25886145703
housing_c,wdi_unempilo + gdp_oecd +,Stock,-0.00809354869184832,1.0833998679822092e-05,153302.67419431143,153521.89031220146
housing_c,socx_oecd + gdp_oecd +,Stock,-0.008955750276289736,3.2779008603539075e-06,138917.61921901902,139125.50388903965
housing_c,netmigpct + wdi_unempilo +,Stock,0.0015360564749773002,0.4068571804818555,153485.95250589924,153705.16862378927
housing_c,netmigpct + socx_oecd +,Stock,-0.0019068894689874677,0.3304237809025402,139076.1172981622,139284.00196818283
housing_c,netmigpct + gdp_oecd +,Stock,-0.004792659012852539,0.009468060797305562,153302.90874135823,153522.12485924826
health_c,,Stock,0.0046949883839511024,0.00021124092076317354,122190.27772854405,122391.92667784226
health_c,wdi_unempilo +,Stock,0.004212472097325965,0.0009113150224270188,122164.00013934186,122374.8149499718
health_c,socx_oecd +,Stock,-0.0044271833779291996,0.0017077026330239457,110752.71993110425,110952.26318318777
health_c,gdp_oecd +,Stock,-0.0011530442898893354,0.4074019512894621,122089.86873325965,122300.68354388958
health_c,netmigpct +,Stock,0.003855151280083676,0.0035651472052030194,122187.392551457,122398.20736208693
health_c,wdi_unempilo + socx_oecd +,Stock,-0.004789544570692497,0.0007005065918245694,110731.40684722643,110940.02024713194
health_c,wdi_unempilo + gdp_oecd +,Stock,-0.0024339295894589795,0.08284594028208346,122042.99578876968,122262.97646073136
health_c,socx_oecd + gdp_oecd +,Stock,-0.007559392449063863,2.8308148676991934e-07,110699.35700383384,110907.97040373934
health_c,netmigpct + wdi_unempilo +,Stock,-0.0007465196403710194,0.5961817219906757,122100.09172233772,122320.0723942994
health_c,netmigpct + socx_oecd +,Stock,-0.007182378079189038,1.5905120471365396e-06,110724.13494107105,110932.74834097656
health_c,netmigpct + gdp_oecd +,Stock,-0.0009594496244369893,0.49566654938265975,122091.05448001855,122311.03515198022
jobs_c,,Flow,-0.004248447095716588,0.03402032535832449,181555.74515169504,181756.88140996083
jobs_c,wdi_unempilo +,Flow,-0.00556757816212471,0.005571882598452009,181478.79879105045,181689.07760651014
jobs_c,socx_oecd +,Flow,-0.003946100290447254,0.07982144431183702,166006.06952899572,166205.09532218732
jobs_c,gdp_oecd +,Flow,-0.0051561754886450765,0.019159692732920047,181556.75058073856,181767.02939619825
jobs_c,migstock_un +,Flow,-0.004248447095716588,0.03402032535832449,181555.74515169504,181756.88140996083
jobs_c,wdi_unempilo + socx_oecd +,Flow,-0.0049869822175084046,0.026982509304680213,165935.58884455528,166143.66126471013
jobs_c,wdi_unempilo + gdp_oecd +,Flow,-0.007837630205654226,0.0004133174190021817,181475.01710934844,181694.43848200204
jobs_c,socx_oecd + gdp_oecd +,Flow,-0.005867471192439757,0.012576460670503194,165999.93262662552,166208.00504678037
jobs_c,migstock_un + wdi_unempilo +,Flow,-0.00556757816212471,0.005571882598452009,181478.79879105045,181689.07760651014
jobs_c,migstock_un + socx_oecd +,Flow,-0.003946100290447254,0.07982144431183702,166006.06952899572,166205.09532218732
jobs_c,migstock_un + gdp_oecd +,Flow,-0.0051561754886450765,0.019159692732920047,181556.75058073856,181767.02939619825
unemp_c,,Flow,0.010493649155396405,2.5512036838815127e-09,160413.3443432026,160614.22454054296
unemp_c,wdi_unempilo +,Flow,0.00966201243117916,4.392606517731033e-08,160370.28674813977,160580.29786354105
unemp_c,socx_oecd +,Flow,0.011641628995220121,2.147963971461275e-09,144680.1423075271,144878.92016805243
unemp_c,gdp_oecd +,Flow,0.011395030903038006,3.6429684789543628e-09,160414.0512822431,160624.0623976444
unemp_c,migstock_un +,Flow,0.010493649155396405,2.5512036838815127e-09,160413.3443432026,160614.22454054296
unemp_c,wdi_unempilo + socx_oecd +,Flow,0.010925958315034873,2.000047476890877e-08,144636.48028281252,144844.29350063446
unemp_c,wdi_unempilo + gdp_oecd +,Flow,0.00975027857310833,5.485553820770447e-07,160372.27519524537,160591.41722870758
unemp_c,socx_oecd + gdp_oecd +,Flow,0.010624805744533103,1.5831734033441278e-07,144678.96466568214,144886.77788350408
unemp_c,migstock_un + wdi_unempilo +,Flow,0.00966201243117916,4.392606517731033e-08,160370.28674813977,160580.29786354105
unemp_c,migstock_un + socx_oecd +,Flow,0.011641628995220121,2.147963971461275e-09,144680.1423075271,144878.92016805243
unemp_c,migstock_un + gdp_oecd +,Flow,0.011395030903038006,3.6429684789543628e-09,160414.0512822431,160624.0623976444
incdiff_c,,Flow,-0.013123852112982849,3.998694619392442e-10,184229.51120542208,184430.41653163114
incdiff_c,wdi_unempilo +,Flow,-0.013693774450240967,7.466668932665907e-11,184215.84612593107,184425.88351242236
incdiff_c,socx_oecd +,Flow,-0.01528135391383046,6.144073342101078e-11,167385.7642535055,167584.55168811325
incdiff_c,gdp_oecd +,Flow,-0.013109053434191557,1.2752172454023522e-08,184231.51096348529,184441.54834997657
incdiff_c,migstock_un +,Flow,-0.013123852112982849,3.998694619392442e-10,184229.51120542208,184430.41653163114
incdiff_c,wdi_unempilo + socx_oecd +,Flow,-0.015720997331815038,1.8233379541816158e-11,167375.1158943589,167582.9391214488
incdiff_c,wdi_unempilo + gdp_oecd +,Flow,-0.014292803017596471,7.594081191443337e-10,184217.47681671896,184436.6462634925
incdiff_c,socx_oecd + gdp_oecd +,Flow,-0.0156853780178188,1.2546647699232933e-10,167387.42853923922,167595.25176632914
incdiff_c,migstock_un + wdi_unempilo +,Flow,-0.013693774450240967,7.466668932665907e-11,184215.84612593107,184425.88351242236
incdiff_c,migstock_un + socx_oecd +,Flow,-0.01528135391383046,6.144073342101078e-11,167385.7642535055,167584.55168811325
incdiff_c,migstock_un + gdp_oecd +,Flow,-0.013109053434191557,1.2752172454023522e-08,184231.51096348529,184441.54834997657
oldage_c,,Flow,0.008029848107914513,3.5039290347084805e-10,123776.3415167341,123978.0137996271
oldage_c,wdi_unempilo +,Flow,0.007645237426659893,2.5252952571318484e-09,123760.52760832805,123971.36681317071
oldage_c,socx_oecd +,Flow,0.0005625109917057333,0.6906397553583354,111121.46632357962,111321.0318298766
oldage_c,gdp_oecd +,Flow,0.0055653842195808115,7.555925084839047e-05,123760.47485248097,123971.31405732363
oldage_c,migstock_un +,Flow,0.008029848107914513,3.5039290347084805e-10,123776.3415167341,123978.0137996271
oldage_c,wdi_unempilo + socx_oecd +,Flow,0.00026169850730275334,0.853290677999315,111107.18955112065,111315.82621679477
oldage_c,wdi_unempilo + gdp_oecd +,Flow,0.004651253634880193,0.0010369346967656061,123738.01596423062,123958.02209102297
oldage_c,socx_oecd + gdp_oecd +,Flow,3.373796867968946e-06,0.998174694116558,111121.70226850161,111330.33893417573
oldage_c,migstock_un + wdi_unempilo +,Flow,0.007645237426659893,2.5252952571318484e-09,123760.52760832805,123971.36681317071
oldage_c,migstock_un + socx_oecd +,Flow,0.0005625109917057333,0.6906397553583354,111121.46632357962,111321.0318298766
oldage_c,migstock_un + gdp_oecd +,Flow,0.0055653842195808115,7.555925084839047e-05,123760.47485248097,123971.31405732363
housing_c,,Flow,0.002942807937910595,0.07739904556899836,153502.43523487053,153703.38334293637
housing_c,wdi_unempilo +,Flow,0.002457839986270516,0.14104779747788526,153485.2779035834,153695.36001656135
housing_c,socx_oecd +,Flow,-0.002074450843933452,0.2616182826476647,139074.18356623413,139273.02977234081
housing_c,gdp_oecd +,Flow,-0.00661764822060681,0.000289162363923979,153342.05828840984,153552.14040138776
housing_c,migstock_un +,Flow,0.002942807937910595,0.07739904556899836,153502.43523487053,153703.38334293637
housing_c,wdi_unempilo + socx_oecd +,Flow,-0.002433289509921361,0.18839458981149823,139060.3741914364,139268.25886145703
housing_c,wdi_unempilo + gdp_oecd +,Flow,-0.00809354869184832,1.0833998679822092e-05,153302.67419431143,153521.89031220146
housing_c,socx_oecd + gdp_oecd +,Flow,-0.008955750276289736,3.2779008603539075e-06,138917.61921901902,139125.50388903965
housing_c,migstock_un + wdi_unempilo +,Flow,0.002457839986270516,0.14104779747788526,153485.2779035834,153695.36001656135
housing_c,migstock_un + socx_oecd +,Flow,-0.002074450843933452,0.2616182826476647,139074.18356623413,139273.02977234081
housing_c,migstock_un + gdp_oecd +,Flow,-0.00661764822060681,0.000289162363923979,153342.05828840984,153552.14040138776
health_c,,Flow,0.0046949883839511024,0.00021124092076317354,122190.27772854405,122391.92667784226
health_c,wdi_unempilo +,Flow,0.004212472097325965,0.0009113150224270188,122164.00013934186,122374.8149499718
health_c,socx_oecd +,Flow,-0.0044271833779291996,0.0017077026330239457,110752.71993110425,110952.26318318777
health_c,gdp_oecd +,Flow,-0.0011530442898893354,0.4074019512894621,122089.86873325965,122300.68354388958
health_c,migstock_un +,Flow,0.0046949883839511024,0.00021124092076317354,122190.27772854405,122391.92667784226
health_c,wdi_unempilo + socx_oecd +,Flow,-0.004789544570692497,0.0007005065918245694,110731.40684722643,110940.02024713194
health_c,wdi_unempilo + gdp_oecd +,Flow,-0.0024339295894589795,0.08284594028208346,122042.99578876968,122262.97646073136
health_c,socx_oecd + gdp_oecd +,Flow,-0.007559392449063863,2.8308148676991934e-07,110699.35700383384,110907.97040373934
health_c,migstock_un + wdi_unempilo +,Flow,0.004212472097325965,0.0009113150224270188,122164.00013934186,122374.8149499718
health_c,migstock_un + socx_oecd +,Flow,-0.0044271833779291996,0.0017077026330239457,110752.71993110425,110952.26318318777
health_c,migstock_un + gdp_oecd +,Flow,-0.0011530442898893354,0.4074019512894621,122089.86873325965,122300.68354388958
